Dataset,Model,Framework,Role,Strict Match (%),Relaxed Match (%),Semantic Similarity,N Samples
EDOS,google/gemma-3-12b-it,Flow Theory,FDM,41.56,41.56,0.6345,320
EDOS,google/gemma-3-12b-it,Flow Theory,MV,45.00,45.00,0.6577,320
EDOS,google/gemma-3-12b-it,Freudian Psychoanalysis,EXPERT,26.75,26.75,0.5209,3200
EDOS,google/gemma-3-12b-it,Freudian Psychoanalysis,FDM,32.50,32.50,0.5555,320
EDOS,google/gemma-3-12b-it,Freudian Psychoanalysis,MV,32.19,32.19,0.5523,320
EDOS,google/gemma-3-12b-it,User Design Persona,EXPERT,38.02,38.02,0.6054,3840
EDOS,google/gemma-3-12b-it,User Design Persona,FDM,41.56,41.56,0.6316,320
EDOS,google/gemma-3-12b-it,User Design Persona,MV,44.06,44.06,0.6436,320
EDOS,google/gemma-3-12b-it,User-Centered Design,EXPERT,39.83,39.83,0.6203,2880
EDOS,google/gemma-3-12b-it,User-Centered Design,FDM,45.00,45.00,0.6584,320
EDOS,google/gemma-3-12b-it,User-Centered Design,MV,43.75,43.75,0.6480,320
EDOS,google/gemma-3-12b-it,baseline,BASELINE,44.38,44.38,0.6606,320
EDOS,google/gemma-3-12b-it,no-description,EXPERT,44.69,44.69,0.6547,4800
EDOS,google/gemma-3-12b-it,no-description,FDM,49.06,49.06,0.6801,320
EDOS,google/gemma-3-12b-it,no-description,MV,48.75,48.75,0.6818,320
EDOS,google/gemma-3-12b-it,no-personality,EXPERT,38.39,38.39,0.6070,3840
EDOS,google/gemma-3-12b-it,no-personality,FDM,44.06,44.06,0.6476,320
EDOS,google/gemma-3-12b-it,no-personality,MV,43.44,43.44,0.6350,320
EDOS,google/gemma-3-27b-it,Cognitive Load Theory,EXPERT,37.97,38.03,0.6129,3200
EDOS,google/gemma-3-27b-it,Cognitive Load Theory,FDM,43.75,43.75,0.6553,320
EDOS,google/gemma-3-27b-it,Cognitive Load Theory,MV,41.56,41.56,0.6420,320
EDOS,google/gemma-3-27b-it,Dual-Process Theory,EXPERT,37.25,37.25,0.6100,4800
EDOS,google/gemma-3-27b-it,Dual-Process Theory,FDM,40.94,40.94,0.6376,320
EDOS,google/gemma-3-27b-it,Dual-Process Theory,MV,41.88,41.88,0.6427,320
EDOS,google/gemma-3-27b-it,Flow Theory,EXPERT,36.71,36.73,0.6075,4800
EDOS,google/gemma-3-27b-it,Flow Theory,FDM,40.31,40.31,0.6340,320
EDOS,google/gemma-3-27b-it,Flow Theory,MV,41.56,41.56,0.6437,320
EDOS,google/gemma-3-27b-it,Freudian Psychoanalysis,EXPERT,29.76,29.77,0.5609,5760
EDOS,google/gemma-3-27b-it,Freudian Psychoanalysis,FDM,31.87,31.87,0.5800,320
EDOS,google/gemma-3-27b-it,Freudian Psychoanalysis,MV,33.12,33.12,0.5888,320
EDOS,google/gemma-3-27b-it,User Design Persona,EXPERT,36.58,36.58,0.6085,4480
EDOS,google/gemma-3-27b-it,User Design Persona,FDM,39.38,39.38,0.6259,320
EDOS,google/gemma-3-27b-it,User Design Persona,MV,40.62,40.62,0.6373,320
EDOS,google/gemma-3-27b-it,User-Centered Design,EXPERT,39.57,39.57,0.6274,6080
EDOS,google/gemma-3-27b-it,User-Centered Design,FDM,42.19,42.19,0.6508,320
EDOS,google/gemma-3-27b-it,User-Centered Design,MV,43.12,43.12,0.6532,320
EDOS,google/gemma-3-27b-it,baseline,BASELINE,41.88,41.88,0.6454,320
EDOS,google/gemma-3-27b-it,no-description,EXPERT,43.09,43.09,0.6545,3200
EDOS,google/gemma-3-27b-it,no-description,FDM,46.88,46.88,0.6814,320
EDOS,google/gemma-3-27b-it,no-description,MV,45.31,45.31,0.6695,320
EDOS,google/gemma-3-27b-it,no-personality,EXPERT,39.56,39.56,0.6289,4800
EDOS,google/gemma-3-27b-it,no-personality,FDM,43.12,43.12,0.6540,320
EDOS,google/gemma-3-27b-it,no-personality,MV,43.12,43.12,0.6548,320
EDOS,meta-llama/llama-3.3-70b-instruct,Cognitive Load Theory,EXPERT,45.08,45.08,0.6718,2560
EDOS,meta-llama/llama-3.3-70b-instruct,Cognitive Load Theory,FDM,47.19,47.19,0.6815,320
EDOS,meta-llama/llama-3.3-70b-instruct,Cognitive Load Theory,MV,45.94,45.94,0.6743,320
EDOS,meta-llama/llama-3.3-70b-instruct,Dual-Process Theory,EXPERT,44.45,44.45,0.6687,2560
EDOS,meta-llama/llama-3.3-70b-instruct,Dual-Process Theory,FDM,46.56,46.56,0.6824,320
EDOS,meta-llama/llama-3.3-70b-instruct,Dual-Process Theory,MV,45.94,45.94,0.6773,320
EDOS,meta-llama/llama-3.3-70b-instruct,Flow Theory,EXPERT,44.73,44.73,0.6725,2560
EDOS,meta-llama/llama-3.3-70b-instruct,Flow Theory,FDM,46.56,46.56,0.6846,320
EDOS,meta-llama/llama-3.3-70b-instruct,Flow Theory,MV,46.56,46.56,0.6815,320
EDOS,meta-llama/llama-3.3-70b-instruct,Freudian Psychoanalysis,EXPERT,45.20,45.23,0.6721,2560
EDOS,meta-llama/llama-3.3-70b-instruct,Freudian Psychoanalysis,FDM,46.25,46.25,0.6765,320
EDOS,meta-llama/llama-3.3-70b-instruct,Freudian Psychoanalysis,MV,45.31,45.31,0.6702,320
EDOS,meta-llama/llama-3.3-70b-instruct,User Design Persona,EXPERT,44.38,44.38,0.6692,2880
EDOS,meta-llama/llama-3.3-70b-instruct,User Design Persona,FDM,45.62,45.62,0.6796,320
EDOS,meta-llama/llama-3.3-70b-instruct,User Design Persona,MV,44.69,44.69,0.6720,320
EDOS,meta-llama/llama-3.3-70b-instruct,User-Centered Design,EXPERT,44.24,44.24,0.6675,2880
EDOS,meta-llama/llama-3.3-70b-instruct,User-Centered Design,FDM,47.19,47.19,0.6883,320
EDOS,meta-llama/llama-3.3-70b-instruct,User-Centered Design,MV,45.62,45.62,0.6778,320
EDOS,meta-llama/llama-3.3-70b-instruct,baseline,BASELINE,44.69,44.69,0.6570,320
EDOS,meta-llama/llama-3.3-70b-instruct,no-description,EXPERT,45.74,45.74,0.6721,2560
EDOS,meta-llama/llama-3.3-70b-instruct,no-description,FDM,48.12,48.12,0.6885,320
EDOS,meta-llama/llama-3.3-70b-instruct,no-description,MV,47.81,47.81,0.6846,320
EDOS,meta-llama/llama-3.3-70b-instruct,no-personality,EXPERT,44.53,44.53,0.6674,3200
EDOS,meta-llama/llama-3.3-70b-instruct,no-personality,FDM,47.19,47.19,0.6832,320
EDOS,meta-llama/llama-3.3-70b-instruct,no-personality,MV,46.56,46.56,0.6796,320
EDOS,meta-llama/llama-4-scout,Cognitive Load Theory,EXPERT,41.74,41.74,0.6430,2240
EDOS,meta-llama/llama-4-scout,Cognitive Load Theory,FDM,42.81,42.81,0.6540,320
EDOS,meta-llama/llama-4-scout,Cognitive Load Theory,MV,43.12,43.12,0.6498,320
EDOS,meta-llama/llama-4-scout,Dual-Process Theory,EXPERT,43.57,43.57,0.6538,2240
EDOS,meta-llama/llama-4-scout,Dual-Process Theory,FDM,46.88,46.88,0.6732,320
EDOS,meta-llama/llama-4-scout,Dual-Process Theory,MV,47.19,47.19,0.6768,320
EDOS,meta-llama/llama-4-scout,Flow Theory,EXPERT,43.52,43.52,0.6535,2560
EDOS,meta-llama/llama-4-scout,Flow Theory,FDM,47.19,47.19,0.6797,320
EDOS,meta-llama/llama-4-scout,Flow Theory,MV,44.38,44.38,0.6625,320
EDOS,meta-llama/llama-4-scout,Freudian Psychoanalysis,EXPERT,42.59,42.59,0.6463,2240
EDOS,meta-llama/llama-4-scout,Freudian Psychoanalysis,FDM,45.62,45.62,0.6672,320
EDOS,meta-llama/llama-4-scout,Freudian Psychoanalysis,MV,43.44,43.44,0.6546,320
EDOS,meta-llama/llama-4-scout,User Design Persona,EXPERT,42.29,42.29,0.6469,960
EDOS,meta-llama/llama-4-scout,User Design Persona,FDM,44.69,44.69,0.6631,320
EDOS,meta-llama/llama-4-scout,User Design Persona,MV,43.12,43.12,0.6534,320
EDOS,meta-llama/llama-4-scout,User-Centered Design,EXPERT,42.77,42.77,0.6454,2240
EDOS,meta-llama/llama-4-scout,User-Centered Design,FDM,46.56,46.56,0.6666,320
EDOS,meta-llama/llama-4-scout,User-Centered Design,MV,44.06,44.06,0.6554,320
EDOS,meta-llama/llama-4-scout,baseline,BASELINE,32.50,38.12,0.5873,320
EDOS,meta-llama/llama-4-scout,no-description,EXPERT,41.21,41.21,0.6380,2240
EDOS,meta-llama/llama-4-scout,no-description,FDM,44.06,44.06,0.6567,320
EDOS,meta-llama/llama-4-scout,no-description,MV,44.06,44.06,0.6553,320
EDOS,meta-llama/llama-4-scout,no-personality,EXPERT,43.40,43.44,0.6527,2560
EDOS,meta-llama/llama-4-scout,no-personality,FDM,46.25,46.25,0.6745,320
EDOS,meta-llama/llama-4-scout,no-personality,MV,44.38,44.38,0.6605,320
IEMPATHIZE,amazon/nova-micro-v1,Cognitive Load Theory,EXPERT,58.83,58.83,0.6867,600
IEMPATHIZE,amazon/nova-micro-v1,Cognitive Load Theory,FDM,60.00,60.00,0.6929,120
IEMPATHIZE,amazon/nova-micro-v1,Cognitive Load Theory,MV,59.17,59.17,0.6813,120
IEMPATHIZE,amazon/nova-micro-v1,Dual-Process Theory,EXPERT,59.50,59.50,0.7020,600
IEMPATHIZE,amazon/nova-micro-v1,Dual-Process Theory,FDM,60.83,60.83,0.7078,120
IEMPATHIZE,amazon/nova-micro-v1,Dual-Process Theory,MV,60.00,60.00,0.6956,120
IEMPATHIZE,amazon/nova-micro-v1,Flow Theory,EXPERT,55.42,55.42,0.6520,480
IEMPATHIZE,amazon/nova-micro-v1,Flow Theory,FDM,62.50,62.50,0.6991,120
IEMPATHIZE,amazon/nova-micro-v1,Flow Theory,MV,60.83,60.83,0.6906,120
IEMPATHIZE,amazon/nova-micro-v1,Freudian Psychoanalysis,EXPERT,62.50,62.50,0.7077,600
IEMPATHIZE,amazon/nova-micro-v1,Freudian Psychoanalysis,FDM,65.83,65.83,0.7537,120
IEMPATHIZE,amazon/nova-micro-v1,Freudian Psychoanalysis,MV,64.17,64.17,0.7077,120
IEMPATHIZE,amazon/nova-micro-v1,User Design Persona,EXPERT,61.17,61.17,0.7007,600
IEMPATHIZE,amazon/nova-micro-v1,User Design Persona,FDM,64.17,64.17,0.7187,120
IEMPATHIZE,amazon/nova-micro-v1,User Design Persona,MV,65.00,65.00,0.7206,120
IEMPATHIZE,amazon/nova-micro-v1,User-Centered Design,EXPERT,60.28,60.28,0.7051,360
IEMPATHIZE,amazon/nova-micro-v1,User-Centered Design,FDM,65.00,65.00,0.7365,120
IEMPATHIZE,amazon/nova-micro-v1,User-Centered Design,MV,64.17,64.17,0.7292,120
IEMPATHIZE,amazon/nova-micro-v1,baseline,BASELINE,43.33,43.33,0.6374,120
IEMPATHIZE,amazon/nova-micro-v1,no-description,EXPERT,64.00,64.00,0.7331,600
IEMPATHIZE,amazon/nova-micro-v1,no-description,FDM,66.67,66.67,0.7604,120
IEMPATHIZE,amazon/nova-micro-v1,no-description,MV,67.50,67.50,0.7525,120
IEMPATHIZE,amazon/nova-micro-v1,no-personality,EXPERT,60.56,60.56,0.6896,360
IEMPATHIZE,amazon/nova-micro-v1,no-personality,FDM,60.83,60.83,0.6932,120
IEMPATHIZE,amazon/nova-micro-v1,no-personality,MV,58.33,58.33,0.6711,120
IEMPATHIZE,google/gemma-3-12b-it,Cognitive Load Theory,EXPERT,63.96,63.96,0.7457,480
IEMPATHIZE,google/gemma-3-12b-it,Cognitive Load Theory,FDM,66.67,66.67,0.7695,120
IEMPATHIZE,google/gemma-3-12b-it,Cognitive Load Theory,MV,65.83,65.83,0.7586,120
IEMPATHIZE,google/gemma-3-12b-it,Dual-Process Theory,EXPERT,62.81,62.81,0.7508,960
IEMPATHIZE,google/gemma-3-12b-it,Dual-Process Theory,FDM,68.33,68.33,0.7794,120
IEMPATHIZE,google/gemma-3-12b-it,Dual-Process Theory,MV,64.17,64.17,0.7555,120
IEMPATHIZE,google/gemma-3-12b-it,Flow Theory,EXPERT,62.58,62.58,0.7358,1200
IEMPATHIZE,google/gemma-3-12b-it,Flow Theory,FDM,61.67,61.67,0.7230,120
IEMPATHIZE,google/gemma-3-12b-it,Flow Theory,MV,63.33,63.33,0.7420,120
IEMPATHIZE,google/gemma-3-12b-it,Freudian Psychoanalysis,EXPERT,60.54,60.54,0.7105,1680
IEMPATHIZE,google/gemma-3-12b-it,Freudian Psychoanalysis,FDM,60.83,60.83,0.6961,120
IEMPATHIZE,google/gemma-3-12b-it,Freudian Psychoanalysis,MV,59.17,59.17,0.6875,120
IEMPATHIZE,google/gemma-3-12b-it,User Design Persona,EXPERT,65.93,65.93,0.7591,1080
IEMPATHIZE,google/gemma-3-12b-it,User Design Persona,FDM,64.17,64.17,0.7451,120
IEMPATHIZE,google/gemma-3-12b-it,User Design Persona,MV,65.83,65.83,0.7586,120
IEMPATHIZE,google/gemma-3-12b-it,User-Centered Design,EXPERT,62.50,62.50,0.7394,600
IEMPATHIZE,google/gemma-3-12b-it,User-Centered Design,FDM,63.33,63.33,0.7384,120
IEMPATHIZE,google/gemma-3-12b-it,User-Centered Design,MV,63.33,63.33,0.7377,120
IEMPATHIZE,google/gemma-3-12b-it,baseline,BASELINE,65.83,65.83,0.7293,120
IEMPATHIZE,google/gemma-3-12b-it,no-description,EXPERT,65.42,65.42,0.7554,1200
IEMPATHIZE,google/gemma-3-12b-it,no-description,FDM,65.83,65.83,0.7654,120
IEMPATHIZE,google/gemma-3-12b-it,no-description,MV,66.67,66.67,0.7659,120
IEMPATHIZE,google/gemma-3-12b-it,no-personality,EXPERT,64.72,64.72,0.7489,360
IEMPATHIZE,google/gemma-3-12b-it,no-personality,FDM,65.83,65.83,0.7550,120
IEMPATHIZE,google/gemma-3-12b-it,no-personality,MV,65.83,65.83,0.7599,120
IEMPATHIZE,google/gemma-3-27b-it,Cognitive Load Theory,EXPERT,62.60,62.60,0.7105,960
IEMPATHIZE,google/gemma-3-27b-it,Cognitive Load Theory,FDM,65.83,65.83,0.7390,120
IEMPATHIZE,google/gemma-3-27b-it,Cognitive Load Theory,MV,63.33,63.33,0.7182,120
IEMPATHIZE,google/gemma-3-27b-it,Dual-Process Theory,EXPERT,62.50,62.50,0.7104,1200
IEMPATHIZE,google/gemma-3-27b-it,Dual-Process Theory,FDM,60.00,60.00,0.6852,120
IEMPATHIZE,google/gemma-3-27b-it,Dual-Process Theory,MV,61.67,61.67,0.7041,120
IEMPATHIZE,google/gemma-3-27b-it,Flow Theory,EXPERT,65.07,65.07,0.7361,1440
IEMPATHIZE,google/gemma-3-27b-it,Flow Theory,FDM,65.83,65.83,0.7439,120
IEMPATHIZE,google/gemma-3-27b-it,Flow Theory,MV,65.83,65.83,0.7384,120
IEMPATHIZE,google/gemma-3-27b-it,Freudian Psychoanalysis,EXPERT,63.08,63.08,0.7161,1200
IEMPATHIZE,google/gemma-3-27b-it,Freudian Psychoanalysis,FDM,64.17,64.17,0.7311,120
IEMPATHIZE,google/gemma-3-27b-it,Freudian Psychoanalysis,MV,63.33,63.33,0.7127,120
IEMPATHIZE,google/gemma-3-27b-it,User Design Persona,EXPERT,66.57,66.57,0.7452,1080
IEMPATHIZE,google/gemma-3-27b-it,User Design Persona,FDM,65.83,65.83,0.7335,120
IEMPATHIZE,google/gemma-3-27b-it,User Design Persona,MV,69.17,69.17,0.7610,120
IEMPATHIZE,google/gemma-3-27b-it,User-Centered Design,EXPERT,65.61,65.61,0.7356,1320
IEMPATHIZE,google/gemma-3-27b-it,User-Centered Design,FDM,65.00,65.00,0.7268,120
IEMPATHIZE,google/gemma-3-27b-it,User-Centered Design,MV,68.33,68.33,0.7543,120
IEMPATHIZE,google/gemma-3-27b-it,baseline,BASELINE,74.17,74.17,0.8040,120
IEMPATHIZE,google/gemma-3-27b-it,no-description,EXPERT,66.50,66.50,0.7437,1200
IEMPATHIZE,google/gemma-3-27b-it,no-description,FDM,66.67,66.67,0.7458,120
IEMPATHIZE,google/gemma-3-27b-it,no-description,MV,69.17,69.17,0.7666,120
IEMPATHIZE,google/gemma-3-27b-it,no-personality,EXPERT,63.42,63.42,0.7199,1200
IEMPATHIZE,google/gemma-3-27b-it,no-personality,FDM,61.67,61.67,0.6973,120
IEMPATHIZE,google/gemma-3-27b-it,no-personality,MV,65.00,65.00,0.7323,120
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,Cognitive Load Theory,EXPERT,67.13,67.13,0.7675,1080
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,Cognitive Load Theory,FDM,66.67,66.67,0.7702,120
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,Cognitive Load Theory,MV,67.50,67.50,0.7775,120
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,Dual-Process Theory,EXPERT,66.50,66.50,0.7564,1200
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,Dual-Process Theory,FDM,65.83,65.83,0.7537,120
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,Dual-Process Theory,MV,66.67,66.67,0.7597,120
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,Flow Theory,EXPERT,66.67,66.67,0.7708,120
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,Flow Theory,FDM,67.50,67.50,0.7782,120
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,Flow Theory,MV,66.67,66.67,0.7708,120
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,Freudian Psychoanalysis,EXPERT,65.33,65.42,0.7503,1200
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,Freudian Psychoanalysis,FDM,66.67,66.67,0.7555,120
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,Freudian Psychoanalysis,MV,67.50,67.50,0.7665,120
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,User Design Persona,EXPERT,68.54,68.54,0.7748,960
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,User Design Persona,FDM,70.00,70.00,0.7879,120
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,User Design Persona,MV,69.17,69.17,0.7750,120
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,User-Centered Design,EXPERT,66.82,66.82,0.7615,1320
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,User-Centered Design,FDM,67.50,67.50,0.7609,120
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,User-Centered Design,MV,68.33,68.33,0.7676,120
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,baseline,BASELINE,70.83,70.83,0.7820,120
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,no-description,EXPERT,68.92,68.92,0.7801,1200
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,no-description,FDM,69.17,69.17,0.7812,120
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,no-description,MV,69.17,69.17,0.7812,120
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,no-personality,EXPERT,66.39,66.39,0.7600,1080
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,no-personality,FDM,66.67,66.67,0.7653,120
IEMPATHIZE,meta-llama/llama-3.3-70b-instruct,no-personality,MV,66.67,66.67,0.7695,120
IEMPATHIZE,meta-llama/llama-4-scout,Cognitive Load Theory,EXPERT,64.88,64.88,0.7452,840
IEMPATHIZE,meta-llama/llama-4-scout,Cognitive Load Theory,FDM,65.83,66.67,0.7548,120
IEMPATHIZE,meta-llama/llama-4-scout,Cognitive Load Theory,MV,65.83,65.83,0.7495,120
IEMPATHIZE,meta-llama/llama-4-scout,Dual-Process Theory,EXPERT,65.83,65.83,0.7510,720
IEMPATHIZE,meta-llama/llama-4-scout,Dual-Process Theory,FDM,66.67,66.67,0.7611,120
IEMPATHIZE,meta-llama/llama-4-scout,Dual-Process Theory,MV,65.83,65.83,0.7537,120
IEMPATHIZE,meta-llama/llama-4-scout,Flow Theory,EXPERT,64.44,64.44,0.7405,720
IEMPATHIZE,meta-llama/llama-4-scout,Flow Theory,FDM,65.83,65.83,0.7495,120
IEMPATHIZE,meta-llama/llama-4-scout,Flow Theory,MV,63.33,63.33,0.7280,120
IEMPATHIZE,meta-llama/llama-4-scout,Freudian Psychoanalysis,EXPERT,66.25,66.25,0.7622,720
IEMPATHIZE,meta-llama/llama-4-scout,Freudian Psychoanalysis,FDM,65.00,65.00,0.7489,120
IEMPATHIZE,meta-llama/llama-4-scout,Freudian Psychoanalysis,MV,66.67,66.67,0.7617,120
IEMPATHIZE,meta-llama/llama-4-scout,User Design Persona,EXPERT,64.69,64.69,0.7482,960
IEMPATHIZE,meta-llama/llama-4-scout,User Design Persona,FDM,65.83,65.83,0.7557,120
IEMPATHIZE,meta-llama/llama-4-scout,User Design Persona,MV,64.17,64.17,0.7416,120
IEMPATHIZE,meta-llama/llama-4-scout,User-Centered Design,EXPERT,65.24,65.24,0.7492,840
IEMPATHIZE,meta-llama/llama-4-scout,User-Centered Design,FDM,65.00,65.00,0.7501,120
IEMPATHIZE,meta-llama/llama-4-scout,User-Centered Design,MV,65.83,65.83,0.7481,120
IEMPATHIZE,meta-llama/llama-4-scout,baseline,BASELINE,47.50,49.17,0.6590,120
IEMPATHIZE,meta-llama/llama-4-scout,no-description,EXPERT,66.53,66.53,0.7562,720
IEMPATHIZE,meta-llama/llama-4-scout,no-description,FDM,67.50,67.50,0.7636,120
IEMPATHIZE,meta-llama/llama-4-scout,no-description,MV,66.67,66.67,0.7568,120
IEMPATHIZE,meta-llama/llama-4-scout,no-personality,EXPERT,64.51,64.51,0.7426,1440
IEMPATHIZE,meta-llama/llama-4-scout,no-personality,FDM,65.00,65.00,0.7483,120
IEMPATHIZE,meta-llama/llama-4-scout,no-personality,MV,63.33,63.33,0.7342,120
empatheticDialogues_classification,amazon/nova-micro-v1,Cognitive Load Theory,EXPERT,36.15,36.15,0.6368,2880
empatheticDialogues_classification,amazon/nova-micro-v1,Cognitive Load Theory,FDM,38.75,38.75,0.6490,320
empatheticDialogues_classification,amazon/nova-micro-v1,Cognitive Load Theory,MV,36.88,36.88,0.6406,320
empatheticDialogues_classification,amazon/nova-micro-v1,Dual-Process Theory,EXPERT,36.74,36.74,0.6383,2240
empatheticDialogues_classification,amazon/nova-micro-v1,Dual-Process Theory,FDM,37.50,37.50,0.6467,320
empatheticDialogues_classification,amazon/nova-micro-v1,Dual-Process Theory,MV,37.50,37.50,0.6458,320
empatheticDialogues_classification,amazon/nova-micro-v1,Flow Theory,EXPERT,34.91,34.91,0.6296,2240
empatheticDialogues_classification,amazon/nova-micro-v1,Flow Theory,FDM,35.62,35.62,0.6362,320
empatheticDialogues_classification,amazon/nova-micro-v1,Flow Theory,MV,35.94,35.94,0.6392,320
empatheticDialogues_classification,amazon/nova-micro-v1,Freudian Psychoanalysis,EXPERT,36.03,36.03,0.6378,3200
empatheticDialogues_classification,amazon/nova-micro-v1,Freudian Psychoanalysis,FDM,37.19,37.19,0.6477,320
empatheticDialogues_classification,amazon/nova-micro-v1,Freudian Psychoanalysis,MV,36.56,36.56,0.6451,320
empatheticDialogues_classification,amazon/nova-micro-v1,User Design Persona,EXPERT,35.76,35.76,0.6306,2240
empatheticDialogues_classification,amazon/nova-micro-v1,User Design Persona,FDM,38.12,38.12,0.6428,320
empatheticDialogues_classification,amazon/nova-micro-v1,User Design Persona,MV,38.12,38.12,0.6501,320
empatheticDialogues_classification,amazon/nova-micro-v1,User-Centered Design,EXPERT,35.31,35.35,0.6317,2560
empatheticDialogues_classification,amazon/nova-micro-v1,User-Centered Design,FDM,37.81,37.81,0.6456,320
empatheticDialogues_classification,amazon/nova-micro-v1,User-Centered Design,MV,37.81,37.81,0.6460,320
empatheticDialogues_classification,amazon/nova-micro-v1,baseline,BASELINE,0.00,0.00,0.3769,320
empatheticDialogues_classification,amazon/nova-micro-v1,no-description,EXPERT,38.96,38.96,0.6509,1920
empatheticDialogues_classification,amazon/nova-micro-v1,no-description,FDM,39.69,39.69,0.6578,320
empatheticDialogues_classification,amazon/nova-micro-v1,no-description,MV,41.56,41.56,0.6649,320
empatheticDialogues_classification,amazon/nova-micro-v1,no-personality,EXPERT,36.51,36.51,0.6338,1920
empatheticDialogues_classification,amazon/nova-micro-v1,no-personality,FDM,38.75,38.75,0.6455,320
empatheticDialogues_classification,amazon/nova-micro-v1,no-personality,MV,38.75,38.75,0.6456,320
empatheticDialogues_classification,google/gemma-3-12b-it,Cognitive Load Theory,EXPERT,43.06,43.06,0.6807,9920
empatheticDialogues_classification,google/gemma-3-12b-it,Cognitive Load Theory,FDM,46.88,46.88,0.7018,320
empatheticDialogues_classification,google/gemma-3-12b-it,Cognitive Load Theory,MV,45.00,45.00,0.6938,320
